n_run;individual_gains;defeated_enemies
1;[-258.5999999999997, -324.39999999999975, -380.0, -192.99999999999957, -424.39999999999975];[1, 1, 0, 2, 1]
10;[-262.3999999999997, -302.0, -276.3999999999997, -186.99999999999966, -179.39999999999966];[2, 1, 2, 2, 2]
2;[-159.7999999999994, -120.19999999999943, -176.19999999999968, -182.19999999999968, -155.99999999999943];[3, 3, 2, 2, 3]
3;[-175.59999999999943, -198.5999999999995, -133.79999999999944, -189.9999999999995, -318.79999999999967];[3, 3, 3, 3, 2]
4;[-146.99999999999943, -291.39999999999975, -236.99999999999946, -277.39999999999975, -377.39999999999975];[3, 2, 3, 2, 1]
5;[-44.199999999999505, -44.9999999999994, -86.99999999999952, -136.59999999999937, -142.9999999999994];[3, 3, 3, 2, 2]
6;[-48.19999999999922, -118.79999999999939, -108.19999999999942, -76.79999999999922, -55.799999999999244];[4, 3, 3, 4, 4]
7;[-100.39999999999941, -72.19999999999939, -57.19999999999922, -68.59999999999934, -105.99999999999946];[3, 3, 4, 3, 3]
8;[-328.0, -350.59999999999974, -117.19999999999919, -245.59999999999945, -269.99999999999966];[1, 2, 4, 3, 2]
9;[-281.9999999999997, -44.39999999999907, -120.5999999999994, -109.19999999999908, -162.19999999999936];[2, 4, 3, 4, 3]
